Date,CCL Index
11/1/1999,51.98
10/1/1999,51
9/1/1999,52.1
8/1/1999,53.12
7/1/1999,55.03
6/1/1999,56.45
5/1/1999,56.43
4/1/1999,57.22
3/1/1999,55.58
2/1/1999,55.02
1/1/1999,56.05
12/1/1998,55.04
11/1/1998,54.65
10/1/1998,50.17
9/1/1998,47.86
8/1/1998,51.13
7/1/1998,53.62
6/1/1998,55.23
5/1/1998,59.86
4/1/1998,68.95
3/1/1998,71.52
2/1/1998,74.89
1/1/1998,69.77
12/1/1997,85.85
11/1/1997,87.11
10/1/1997,101.8
9/1/1997,99.31
8/1/1997,97.98
7/1/1997,96.54
6/1/1997,103.82
5/1/1997,97.55
4/1/1997,89.3
3/1/1997,96.09
2/1/1997,87.29
1/1/1997,83.68
12/1/1996,78.87
11/1/1996,74.73
10/1/1996,70.4
9/1/1996,67.53
8/1/1996,64.88
7/1/1996,64.55
6/1/1996,66.6
5/1/1996,63.63
4/1/1996,63.64
3/1/1996,61.11
2/1/1996,60.15
,
,
,
